index,type,pts,size,size_kb
994,P,994994,4777,4.67
995,B,995995,6031,5.89
996,B,996996,7191,7.02
997,B,997997,283442,276.8
998,P,998998,4869,4.75
999,B,999999,5456,5.33
1000,B,1001000,6945,6.78
1001,B,1002001,174153,170.07
1002,P,1003002,4531,4.42
1003,B,1004003,5786,5.65
1004,B,1005004,6573,6.42
1005,B,1006005,199099,194.43
1006,P,1007006,6936,6.77
1007,B,1008007,8571,8.37
1008,B,1009008,9127,8.91
1009,B,1010009,90620,88.5
1010,P,1011010,12149,11.86
1011,B,1012011,138407,135.16
1012,P,1013012,0,0.0
1013,P,1014013,0,0.0
